description,cat_sub,category,subcategory
"regador chuveiro 4,8l",222_1207,222,1207
"doce fruta oliveira morango 400g,",172_320,172,320
capa almofada acasa d 48x48 pt 124,138_212,138,212
toalha buddemeyer rosto diana am,46_238,46,238
iog carolina pedacos frutas verm 500g,135_0,135,0
vinho brasileiro casa de bento 750ml organico tinto seco,6_54,6,54
agriao natural salads 100g,41_307,41,307
cr pentear seda choc.intense 300ml,149_0,149,0
salg aper selecao costel limao 50g,11_865,11,865
nectar maguary stevia tangerina 1l,15_12,15,12
caixa de isopor termotecnica 17l,78_103,78,103
cj bomba/caneca michelon lisa 6141,13_1418,13,1418
grelha peixe gudim aram abaulada un,173_1048,173,1048
cr trat lorys proteinas leite 1kg,87_0,87,0
fralda pampers prem care jumbo m 84un,65_1419,65,1419
barra bio2 organic 25g quinoa,110_1420,110,1420
vela kirey num.azul n.6,32_102,32,102
sopinha papissima c/macarrao pt 170g,117_901,117,901
polvilho doce zaeli 500g,26_1169,26,1169
"bifinho baw waw 50g, carne",77_99,77,99
queijo parm.cilindro faixa azul 195g,67_127,67,127
bolsa termica lune sole 28l hb5-1148,78_103,78,103
leite po integral ibituruna 400g,51_463,51,463
sandalia havaianas slim retro mar/vde 37/38,21_22,21,22
cacarola nigro vitalita 20cm antiaderent,13_254,13,254
garrafa term garbo 500ml termolar lotus,40_44,40,44
refrig frutilla guarana zero pet 2l,16_1177,16,1177
antis bucal colgate plax total classic 60ml,265_763,265,763
elasticos p cabelo colorido marco boni,39_1078,39,1078
frigideira tramontina vermon 20 27806014,13_154,13,154
salg aper amendoim dori fritt 70g,11_328,11,328
"mac c ovos adria 500g, conchinha",19_192,19,192
vela regina c/gliter branca n.04,32_102,32,102
germana massa pastel lanchonete 500g,4_149,4,149
shampoo casulao 330ml bichos,148_101,148,101
"mac c ovos petybon 500g, espaguetinho",19_144,19,144
broto comest p-dagua 20g-pt rucula,41_46,41,46
gel fix vita capili crystal 250g,206_389,206,389
choc tab lacta shot 20g,57_418,57,418
queijo prato tirolez zero lact fat 150g,67_527,67,527
cr dent creme colgate sensitive pro alivio 50g,207_489,207,489
mel gigante figo 450g-gf,96_133,96,133
sandalia ipanema anatomica soft az 39,21_22,21,22
cr pentear pantene prev cachos defin 150ml,149_258,149,258
pedra sanitaria 3x25g lipex c/suporte,90_602,90,602
sab liq lux tentacao floral 250ml,36_40,36,40
massa lasan/canel massa e cia 500g .,4_218,4,218
melao sapies famosa redinha kg,163_1204,163,1204
gengibre kinino 20g,9_566,9,566
leite po purissima integral 400g,51_463,51,463
salg aper amendoim anfey japones 200g,11_328,11,328
oleo cab salon opus serum d-pantenol 60ml,246_891,246,891
saco smart 50 20x33,120_172,120,172
vinho portugues 750ml olaria branco,6_295,6,295
kit vizcaya keratina sha 200ml+con 150ml,132_194,132,194
porta talheres sanremo medio s/tampa,56_1244,56,1244
zip pratsy c/8 1079,120_172,120,172
molho de tomate 340g val sachet hot dog,179_1040,179,1040
"manteiga president tablete 200g, c sal",144_227,144,227
colchao bestway casal c/bomba 67225,267_1421,267,1421
abridor multiuso trudeau turbo 1516,13_496,13,496
vinho portugues licoroso jeropiga 750ml,6_295,6,295
pao italiano comprido kg paul,69_241,69,241
champignon cepera 100g sachet,116_167,116,167
"condim carmencita cx-0,375g acafrao estigma",9_1029,9,1029
carne salg.dessecad.frinense cx.pla.500g,270_907,270,907
polpa boacha 100 g manga,130_332,130,332
contra file bov top quality (bife) kg,183_690,183,690
bisc wafer ale hf desiree 400g-pc sort,5_24,5,24
sh ecologie ul hidr oliva/mant lilipe 275ml,37_73,37,73
alho/cebola planalto pt 200g,9_483,9,483
evap art lg 18000 qf dual inv 220v,23_25,23,25
beb lactea liq milk mix morango 900g,135_304,135,304
ramequim refrat 10cm vm rmqm-010vm,31_1422,31,1422
kit sh+cond head&shouders sh400ml+cond200ml gts sh 3em1,132_194,132,194
espatula inox tramontina,13_575,13,575
ph fs sublime duo 160m 2un,198_364,198,364
vassoura jardim canto un,217_446,217,446
sabao coco teiu 200g un,258_245,258,245
azeite (p) hemmer oliva 500ml extra virgem,146_232,146,232
lamp golden led 8w branca,88_116,88,116
guia n2 forrada c/felt.snackshow,85_448,85,448
form inf partida aptamil 1 lt 800g,117_479,117,479
esponja banho condor lv3 pg2 basica,64_292,64,292
sandalia havaiana slim logo pop up 35/36,21_22,21,22
meia lupo baby 0/4 rs 2002-001,164_1423,164,1423
mod achoc nescau 1kg,227_467,227,467
mascara salgada saudali vacuo kg,87_161,87,161
doce vimilk 700gr leite c/chocolate .,172_291,172,291
feijao carioquinha chinezinho 500g,58_613,58,613
macarrão de cecco: 'fusilli n°34 integrali' durum whole wheat,19_252,19,252
agenda tilibra cost perm academ 96fls,83_107,83,107
vinho esporao monte velho bco gfa 750ml,6_300,6,300
ovos mantiqueira organico c/10,30_1424,30,1424
cerveja 600ml gf colombina tesourinha,14_114,14,114
caderno tilibra cd univ 10m 200f transformers,54_62,54,62
cerveja cevada pura 500ml pilsen e estout+ copo,14_244,14,244
pascoa ovo ferrero collection,27_29,27,29
curativo band-aid peq ferimentos c/16,236_811,236,811
bisc zeze maria pct 400g,5_1073,5,1073
batedeira britania bellag cristal pt 127,285_1219,285,1219
"coxa asa empanado lar 1,5kg",63_78,63,78
bombom ferrero raffaello 10g,57_344,57,344
mochilete sestini max stell 18m 64953,54_660,54,660
manta acasa d 127x152 cz 1901,55_109,55,109
molho heinz curry/manga fr 220ml,66_0,66,0
vinho rhebokskloof flat rock gfa 750ml,6_112,6,112
vinho portugues vivere vinum 750ml bco,6_295,6,295
lingua bovina band.kg,18_1425,18,1425
meia lupo baby 0 rs 2115-001,164_1423,164,1423
couve mizuna org capela-bj,41_1426,41,1426
alfarroba carobhouse cranb drag s/g 100g,57_1427,57,1427
plasútil pote para gelatina divertidos 6 peças,56_66,56,66
azeitona vde fat t paco 2kg-bd,162_511,162,511
frigideira wok multiflon 28cm preta,13_154,13,154
aveia fl fino nesfit instantanea 170g,309_1229,309,1229
intens perf downy unstopables shimer 275g,71_1428,71,1428
queijo parm.faixa verde gran mestri kg,67_127,67,127
"acai guarana split cong.1,02kg",196_141,196,141
papel rib higienico picotado 3,198_364,198,364
bisc int bauducco cereale leite/granola 77g,5_463,5,463
esc dent bas sorriso original media lv3 pg2,128_198,128,198
bala mastig friexs pegadinha 700g-pc,57_185,57,185
bala drops past certs menta,57_169,57,169
manteiga pastora fazenda s/sal pote 200g,144_247,144,247
porta retrato imp e mad g bc162091,287_801,287,801
ruffles batata 57gr sal,11_657,11,657
chinelo acasa n az 41x42 0218,21_669,21,669
manta acasa n 125x150 az 2170-bl 1901,55_109,55,109
vela aniv.regina 15anos rosa,32_102,32,102
sab farnese 90g clas lavanda francesa,107_40,107,40
celular samsung galaxy s4 zoom bc c1010,271_668,271,668
pimenta kitano reino preta 15g moida,9_1088,9,1088
afiambrado kg estrela pca int,13_1218,13,1218
copo nadir old fashion double 370ml,47_104,47,104
sandalia havaianas kids flores ama pole/purp met 35/36,73_22,73,22
coxao mole bov elgolli (pedaco) kg,18_1027,18,1027
manteiga godam c/sal 200gr,144_227,144,227
copo 200ml c/50un conexao amarelo,56_104,56,104
bisc lanch bauducco recheadinho goiaba 112g,5_5,5,5
batata frita chinezinho ond 40g,11_214,11,214
patinho moido bov distriboi kg,183_1292,183,1292
mac ovos s-amalia 500g gravata,19_1264,19,1264
kit sh+cond dove reconst extr 400ml c/cond 200ml pr es,132_194,132,194
"suco imbiara conc 980ml, manga",12_12,12,12
geleia b.principio 250g pimenta vrm,103_145,103,145
pastilha mentos kiss menta forte lt 36g,57_169,57,169
alho roxo kg,9_899,9,899
lubrif elaion f50 d2 5w30 sintetico,218_457,218,457
abracadeira ud hidra 3/8 c/2 rosca s/fim,75_677,75,677
bisc isabela mous choc m amarg pct 150g,5_133,5,133
ap prestobarba 3 laminas gts baralho,134_651,134,651
bisc rech liane diversao showcoco 115g,5_65,5,65
alim cao do chow ad rp lv11.6 pg10.1kg,77_26,77,26
geleia homemade 320g frut amararelas,103_256,103,256
refr po yoki uva 300g,189_350,189,350
revista caras,177_302,177,302
sab protex liq 120ml refil vitamina e,36_293,36,293
vinho nacional saint german bco assemblage 750ml,6_54,6,54
massa pastel romanha rolo pct 500g,4_1174,4,1174
tigela evo mogno 3900ml,56_410,56,410
sh multiacao sos queratina 400ml,37_73,37,73
molho crem masterfoods 34g bco,295_435,295,435
pepino taua 300g vd vin.sve,124_231,124,231
garfo mimo cozinha .,13_694,13,694
esponja parol aluminox .,1_1214,1,1214
baud bolinho pao mel 30g,57_269,57,269
geleia prezunic premium amora 320g,103_256,103,256
varal mundo facil nylon n5 10m,125_1429,125,1429
vinho portugues terra de touros bco tejo 750ml,6_295,6,295
hamb. seara texas burguer 90g misto,105_1164,105,1164
chocolift be alive essential 40g,57_336,57,336
"papinha salg nestle car leg mac 115g,",117_901,117,901
sacola papel texture 12x36x9cm magizi,32_1399,32,1399
choc only4 80g c/chia,57_91,57,91
colcha teka origens n casal az,55_233,55,233
alecrim org minas 15g,9_456,9,456
peso panela pressao serve clock 891,272_1374,272,1374
canecas florais dec diversas casa ambiente,31_83,31,83
far soja kodilar 500g integral tostada,26_523,26,523
toalha piso atlantica sofisticata cr 586,46_274,46,274
saboneteira coa facil plastica,234_502,234,502
sabon liq lux rosas francesas 250ml,36_40,36,40
"alim p gatos friskies molho 85g, frango",24_314,24,314
"alim p gatos cat choice 500g, filhotes",24_26,24,26
vinho nacional luiz porto chard sec bco 750ml,6_1230,6,1230
suco integ melina uva gf 1l,15_463,15,463
choc munz leite br 100g,57_365,57,365
tomate cereja organico 300g,124_1376,124,1376
requeijao lacfree trad.verde campo 180g,25_139,25,139
pirulito maca amor mor 480g pc,57_412,57,412
gel barb gillette prog hidr 198g,192_207,192,207
papel manteiga pratsy un,326_1430,326,1430
lixeira automotiva color skull un,226_1431,226,1431
esc dent bas sanifill classic macia,128_198,128,198
limpa vidros cockpit 500ml,242_0,242,0
coentro kitano po 10g-pc,9_131,9,131
protetor solar sundown com repelente fps30 120ml,174_1432,174,1432
"choc arcor amargo 100g, 53%",57_1433,57,1433
sabonete caes coco petbril 80g,82_631,82,631
papinha doce nestle maca 120g,117_1395,117,1395
vinho salort syrah tannat gfa 750ml,6_112,6,112
massa fr capeletti fresc pastaninna 400g-bj fgo,4_180,4,180
oleo cab salon-l t-dcacho giras/oliv/coco 100ml,246_891,246,891
"caminhao friccao, champion popular",123_426,123,426
forma lam kirey doce prata n.5 c/100,32_277,32,277
oleo citromax 100ml floral,114_128,114,128
goma marcar xylish 94g hiper cool,57_316,57,316
"pao for integ light pullman 400g, int100 especial",69_275,69,275
sab bar phebo aguas lavanda 150g,107_40,107,40
vinho tarapaca cosecha merlot gfa 750ml,6_112,6,112
taca champagne zwiesel 228ml ivento,47_158,47,158
"atum pescador solido 170g, oleo",158_1348,158,1348
vinho nacional chapinha 1lt tto sv,6_54,6,54
toalha praia sofisticata listrada tg,46_55,46,55
cafe expresso 250g,20_1156,20,1156
macarrao mae terra ave mari org 200g,19_463,19,463
caderno cd 1m 96f tilibra moana,54_62,54,62
salg fofura jr 50g-pc cebola,11_657,11,657
molho italica bolonhesa pt 270g,295_84,295,84
granola de tapioca 200g vilamar cacau/caju,76_152,76,152
mascr cab fina flor bomba multivitaminas 500ml,87_161,87,161
leite po nutril integ 400g-pc,51_463,51,463
vinho nacional calice pedra demi-sec 750ml,6_54,6,54
varal aco vitoria 10mt,125_685,125,685
sh ox plants nutricao 240ml,37_73,37,73
filtro oleo wega wo133,184_819,184,819
bolo mole sl 950g,185_445,185,445
hidrat loc corpo johnson softlot imediata 200ml,60_73,60,73
"toalha de banho delano fant, royal medio",46_55,46,55
bule termico 400ml sonetto preto,40_525,40,525
guardanapo scott fam c 50,52_60,52,60
cha verde matte leao c 10 saq,48_635,48,635
pirulito florestal flop chicle pct 132g,57_115,57,115
panettone roma gotas choc cx 500g,247_1434,247,1434
gel fix bozzano sport forte 170g,206_389,206,389
kit sh+cond seda s o s ceramidas 350ml,132_194,132,194
caderno cd univ julie 10x1 200fls,54_62,54,62
kimpira gobo marunaka,131_1435,131,1435
aperitivo balacream 1l,136_202,136,202
extr tom oderich lt 350g,263_0,263,0
massa polimento kharis n.1/2 400g,316_1312,316,1312
cr trat elseve rt5 esp.quimica 350g,87_0,87,0
quibe c/carne carone kg,283_678,283,678
oleo cab fructis cachos poderosos 100ml,246_891,246,891
mini brownie jacquet 30g avela,185_1436,185,1436
purif ar glade t&f manha campo rf 12ml,114_293,114,293
geleia pol stovit 250g framboesa,103_283,103,283
licor strega sambuca gfa 700ml,308_241,308,241
"requeijao sunny day bisn.1,8kg",25_1437,25,1437
mac parati c/ovos 500g parafuso,19_349,19,349
co elastine 400ml-valv pure breeze,49_264,49,264
bowl krea 25cm 470,31_354,31,354
chupeta mam clear girl 0-6 2432,164_276,164,276
cafe almof compadre pcte 500g,20_21,20,21
colher tramontina ability vaz 25161170vm,13_309,13,309
curativo 3m comfort joelhos/cotov cx c/8,236_628,236,628
salgadinho milho skiny qjo 60g,11_337,11,337
jg cama acasa r solt percal 200f vd,55_196,55,196
vinho nacional aurora reserva bco chardonay 750ml,6_54,6,54
vela kirey numerada super azul n.6,32_102,32,102
sab bar francis hydratta extr avela bc 90g,107_207,107,207
salg inspire soja azeite oliva pct 35g,11_214,11,214
vela aromatica 170g casa ambiente,114_943,114,943
massas it.rana s/recheio tonnarelli 300g,241_538,241,538
des roll brut sucess 65ml,7_7,7,7
sh opus salon 300ml sos bomba,37_73,37,73
azeitona verde cons s/caroco kg,162_1016,162,1016
caf-flauta de creme fm 70g,40_86,40,86
cesto nitron floral p/prendedor,127_1198,127,1198
mamad kuka silic color ortod 70ml rosa,164_605,164,605
empadao dl fgo c/catupiry 400g,313_58,313,58
limp deseng diabo verde 500ml,275_0,275,0
balas santa rita 150gr mastigavel toffe sort,57_185,57,185
beb ferm kefir biologicus 500ml uva,197_133,197,133
mist bolo bunge coco 5kg,26_38,26,38
molho tom pomarola encorpado sc 300g,179_0,179,0
sab bar madressenza vegetal inspire agape 180g,107_207,107,207
cj p/pizza stolf cortador/espat 738,13_1438,13,1438
desod sanit leve brisa 50g,90_1439,90,1439
papel presente sicula inf g 3502,3_1404,3,1404
sandalia rider masc pt ex 11160 24068,21_22,21,22
queijo tipo gruyere (ped) tirolez (v)kg,67_236,67,236
mac inst germani 63g carne,19_92,19,92
sab liq inf johnson baby milk fr 400ml,325_40,325,40
algodao prezunic disco c/50,296_869,296,869
bolsa termica fitiness colors,78_103,78,103
esm risque tieta 8ml,151_239,151,239
"sementes feltrin 1,0/1,2/1,40/1,6/2,0g agriao",61_74,61,74
vaso mistral tulipa p,61_216,61,216
racao cordeiro misturada 500g,77_314,77,314
abs ger biofral maxi c/20,231_491,231,491
algodao york disco c/50,296_869,296,869
"sorvete haagen-dazs 473ml, straw cheesecake",8_122,8,122
bicarbonato 180g fibraforte,9_712,9,712
limp pesada uau ciclone cts 500ml,293_614,293,614
"maionese dmais 2,5kg-bg",211_0,211,0
vinho port titular jaen 750ml dao doc tt,6_112,6,112
abs not c/abas always pink lv8pg7,139_782,139,782
taca nadir celebra agua 400 ml,47_158,47,158
cafe serra da grama 500g. extra forte,20_632,20,632
beb smoothie do bem 1l-tp maracuja/manga,15_12,15,12
barra frut mix zero biosoft 24g ba/av/da,110_362,110,362
agua mineral nestle pur v pet c/12x510ml,2_2,2,2
sh monange fortificante 350ml,37_617,37,617
peitoral happy au triang az/cz n1,85_471,85,471
cerv franziskaner hwk klar one way gf 500ml,14_114,14,114
"edredom solt santista fantasia, royal",55_751,55,751
cerveja cidade imperial pilsen 500ml,14_244,14,244
hamb soja samurai 336g-cx tomate,105_324,105,324
cigarro hilton slims un,156_249,156,249
chinelo hav slim brasil marinho 39/40,21_669,21,669
pim calabr kodilar 30g,9_880,9,880
pote clic plasutil quadrado 2pcs 500ml,56_66,56,66
bisc piraque wafer pirachoko c/20 126g,5_24,5,24
caneta hidrocolor 6cores,54_1407,54,1407
palito polaca bacalanor seco bj 500g,191_1301,191,1301
racao cao dogchow rc peq 3kg-pc filhote,77_26,77,26
forma de silicone para fazer chocolate para us -daiso,213_481,213,481
maracujá kg,163_919,163,919
barra cereal c/s l4p3 100g cer/cacau,110_12,110,12
misturador kirey p/ cafe c/100,32_1440,32,1440
sand ipanema mais tiras 35 preto,21_22,21,22
lencol c/elast acasa r solt per 200f vd,55_932,55,932
temp kinino alh/ceb/salsa 20gr .,214_432,214,432
pascoa ovo nestle classic cookies 450g,27_29,27,29
pao com mortadela un,69_264,69,264
bisnaguinha br 180g tradicional,69_87,69,87
picanha usa usda choice cong kg,18_313,18,313
"mac s/gluten sundhed ave maria tapioca, acafrao e banana verde 400g",19_20,19,20
des roll tabu 50ml,106_7,106,7
pascoa ovo garoto baton brinquedao 150g,27_29,27,29
canela casca ki-flor 10gr .,9_370,9,370
sandalias havaianas color infantil 25/26,21_22,21,22
lampada taschibra esp full 15w 220 6400k,88_116,88,116
vinho traversa cab sauvig bag in box 3l,6_112,6,112
sand havaianas kids slim princes bco/a-dce 25/26,21_22,21,22
sandalia havaianas baby herois pto 21,73_22,73,22
molho tom pomarola parmegiana sc 300g,179_1441,179,1441
catchup arruda 400gr picante,269_843,269,843
ph fd duetto perfumado 4x30m,198_543,198,543
adubo dimy cac ref04-14-08,61_1442,61,1442
bisc imp coffe joy cafe pc 142g,5_288,5,288
funil plastico reciminas n.04,56_1064,56,1064
mix cereais granocrock 30g tradic,119_1443,119,1443
vodka smirnoff caipiroska maracuja 998ml,237_550,237,550
elastico de borracha para prender o cabe -daiso,39_1078,39,1078
taca nf windsor cerveja 7728,47_158,47,158
nectar marata caja tp 1l,15_12,15,12
caderno maxima 96fls cd cast.personaliz s/pauta robots,54_62,54,62
mel propolis nectar floral 250g hortela,96_133,96,133
boneca hello kitty pascoa,290_178,290,178
jg americano acasa bg/mr c/4 2008-c,180_621,180,621
prato raso de porcelana com estampa flor -daiso,31_33,31,33
churrasqueira eletrica suprema gril 127v,194_998,194,998
sab bar protex facial anti cravos 85g,168_631,168,631
evita mofo secar verbena pt 80g,114_351,114,351
limp perf ajax bouquet flores lv1lpg900ml,43_50,43,50
extrato tomate colonial 260g copo,263_0,263,0
pascoa ovo lacta 21 amandita due 510g,27_29,27,29
bisc maise zabet 200g,5_72,5,72
pudim diet po doce menor morango 25g,26_38,26,38
cesto arqplast c/tampa telado 60lt,127_188,127,188
leite selita tipo c 1lt,99_1321,99,1321
"goma mascar trident 6s watermelon 10,2g",57_316,57,316
lombo suino pamplona (p) kg,112_612,112,612
boneca juju hora do banho,290_178,290,178
"jarra plastica nitron 1,4l graduada",56_81,56,81
bisc polv claude troisgros 50g hot curry,11_359,11,359
vela aniv regina branca n.3,32_102,32,102
sorvete la basque 700ml-pt vanilla creme,8_122,8,122
couve brocolis ninja sitio serraria 200g,41_749,41,749
fondant bom doce c/ameixa 250g,28_30,28,30
panetone nestle frutas lt 500g,247_558,247,558
abacaxi perola picado hortmix 200g,163_311,163,311
lixeira brinox 3l inox standard c/pedal/balde,59_69,59,69
